fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
2022-03-01T00:00:00.000,lunes,2022-01-01T00:00:00.000,sábado,09:00 p. m.,si,si,si,no,si,no,femenino,30.0,no,no,unión libre,bachiller completo,ninguno,comuna2,alameda,independiente,3.0,propia,5,0.0,masculino,ex-conyuge,3.0,33.0,unión libre,primaria incompleta,desempleado,ninguno,comuna2,alameda,familiar
2022-04-01T00:00:00.000,martes,31/12/2022,viernes,04:00 a. m.,si,si,si,no,si,no,femenino,33.0,no,no,soltero(a),primaria completa,ninguno,comuna1,molinos de comfandi,independiente,2.0,propia,4,0.0,masculino,ex-conyuge,2.0,49.0,soltero(a),primaria incompleta,desempleado,ninguno,comuna1,molinos de comfandi,familiar
2022-05-01T00:00:00.000,miércoles,24/12/2022,viernes,8:51 a.m.,si,si,si,no,si,no,femenino,31.0,no,si,unión libre,primaria incompleta,ninguno,comuna1,urb. villa del rosario,independiente,2.0,propia,6,0.0,masculino,ex-conyuge,2.0,36.0,unión libre,primaria incompleta,desempleado,ninguno,comuna1,urb. villa del rosario,familiar
18/01/2022,martes,18/01/2022,martes,13:22 p.m.,si,si,si,no,si,no,femenino,64.0,no,no,unión libre,bachiller incompleto,ninguno,comuna1,urb. villa diana,independiente,0.0,propia,6,0.0,femenino,hijo(a),0.0,0.0,soltero(a),primaria incompleta,desempleado,ninguno,comuna1,urb. villa diana,familiar
19/01/2022,miércoles,16/01/2022,domingo,10:03 a.m.,si,si,si,no,si,no,femenino,31.0,no,si,soltero(a),primaria incompleta,ninguno,comuna1,urb. harold eder,independiente,4.0,propia,2,0.0,masculino,ex-conyuge,2.0,34.0,soltero(a),primaria incompleta,desempleado,ninguno,comuna1,molinos cien.,alquilada
19/01/2022,miércoles,19/01/2022,miércoles,10:38 a.m.,si,si,si,no,si,no,femenino,42.0,no,no,casado(a),técnico,ninguno,comuna1,zamorano,independiente,0.0,familiar,4,0.0,masculino,ex-conyuge,2.0,34.0,casado(a),bachiller completo,independiente,ninguno,comuna1,zamorano,familiar
24/01/2022,lunes,23/01/2022,domingo,9:20 a..m.,si,si,si,no,si,no,femenino,41.0,no,no,unión libre,bachiller completo,ninguno,comuna2,portal de las palmas,independiente,2.0,alquilada,4,7.0,masculino,conyuge,2.0,42.0,unión libre,bachiller completo,independiente,ninguno,comuna2,portal de las palmas,alquilada
24/01/2022,lunes,24/01/2022,lunes,7:30 p.m.,si,si,si,no,si,no,femenino,53.0,no,no,casado(a),bachiller completo,ninguno,comuna2,santa maria del palmar,empleado,2.0,propia,3,0.0,masculino,conyuge,2.0,52.0,casado(a),primaria incompleta,independiente,ninguno,comuna5,la libertad,familiar
24/01/2022,lunes,22/01/2022,sábado,10:50 a.m.,si,si,si,si,si,no,femenino,22.0,no,no,soltero(a),bachiller completo,ninguno,comuna1,molinos cien.,independiente,1.0,alquilada,5,0.0,masculino,ex-conyuge,0.0,23.0,soltero(a),primaria incompleta,independiente,ninguno,comuna1,molinos cien.,familiar
24/01/2022,lunes,22/01/2022,sábado,09:00 a.m.,si,si,si,no,si,no,masculino,85.0,no,si,casado(a),primaria incompleta,ninguno,comuna1,hugo varela,independiente,3.0,familiar,3,0.0,masculino,ex-conyuge,0.0,20.0,soltero(a),bachiller incompleto,independiente,ninguno,comuna1,hugo varela,familiar
